Date/Time,Latitude (degree),Longitude (degree),Optical depth liquid (1),Error optical depth liquid (1),Optical depth ice (1), Error optical depth ice (1),Effective droplet radius liquid (um),Error effective droplet radius liquid (um),Effective droplet radius ice (um),Error effective droplet radius (um),Liquid water path (g m^(-2)),Error liquid water path (g m^(-2)),Ice water path (g m^(-2)),Error ice water path (g m^(-2)),Total water path (g m^(-2)),Error total water path (g m^(-2)),Averaging Kernel matrix [11],Averaging Kernel matrix [12],Averaging Kernel matrix [13],Averaging Kernel matrix [14],Averaging Kernel matrix [21],Averaging Kernel matrix [22],Averaging Kernel matrix [23],Averaging Kernel matrix [24],Averaging Kernel matrix[31],Averaging Kernel matrix [32],Averaging Kernel matrix [33],Averaging Kernel matrix [34],Averaging Kernel matrix [41],Averaging Kernel matrix [42],Averaging Kernel matrix [43],Averaging Kernel matrix [44]
2017-06-11T14:05:00,81.830369,11.184632,0.0,2.83e-06,0.56890592,0.00476137,7.0,0.0,24.88845897,0.21273504,0.0,1.32e-05,8.84570946,0.46828944,8.84570946,0.46830264,1.002088,1.981559e-06,0.0,5.896354e-06,76.93903,0.9948626,0.0,0.008843046,0.0,0.0,0.0,0.0,12.28156,0.01818173,0.0,0.02988147
2017-06-11T14:07:00,81.830281,11.185796,0.0,4.87e-06,0.8467406,0.00103332,7.0,0.0,24.48768346,0.41875988,0.0,2.273e-05,12.95765722,1.20426407,12.95765722,1.2042868,1.045254,-2.087155e-06,0.0,5.078399e-06,-111.3072,1.011952,0.0,0.0002318842,0.0,0.0,0.0,0.0,3603.168,0.9540109,0.0,0.3035194
2017-06-11T14:09:00,81.830198,11.186707,0.30586792,0.02363425,1.10351627,0.02344142,8.59062836,0.22278503,19.25359614,0.24509359,1.75173172,0.18078392,13.54604032,1.14929766,15.29777204,1.3300815799999999,1.104229,0.08470678,-0.04225789,-0.05995544,-0.1429851,0.8797682,0.05130439,0.0629646,1.507751,0.8216221,-0.1746343,-0.7116736,0.4902303,-0.1842878,0.3003863,0.8304324
2017-06-11T14:10:00,81.830158,11.187245,1.32091223,0.0747235,0.49812461,0.08028065,12.23260387,0.56291471,24.12471037,0.33693971,10.77213069,1.10508258,7.50420619,1.78702945,18.27633688,2.89211203,0.5488723,-0.2534387,-0.116448,-0.02941583,0.4546492,1.237135,0.1163099,0.02903787,-0.1501334,-0.6584618,0.7283266,-0.1084137,0.4498211,0.7343984,-0.4264689,0.08323971
2017-06-11T14:11:00,81.830097,11.187583,0.63601424,0.02599795,0.67708766,0.02894573,9.34680428,0.29510329,21.49622897,0.21075219,3.96313373,0.28712511,9.18209575,0.83894863,13.145229480000001,1.12607374,0.8422146,0.03448699,-0.1004157,-0.03117286,0.155631,0.9504053,0.109999,0.02929605,-0.4682091,0.1855543,-0.0724016,-0.06708658,0.326776,1.14136,-0.1115762,0.1538775
2017-06-11T14:13:00,81.830007,11.188357,1.33291528,0.11007408,0.36105426,0.1143911,11.7948695,0.45418705,17.75386695,0.5071584,10.48104118,1.26913482,4.11195891,1.86030975,14.59300009,3.1294445700000004,0.7946711,-0.1359023,-0.07154918,0.07015137,0.1989596,1.12519,0.08409544,-0.07332282,0.2597198,0.1687528,0.793014,0.3269135,0.3951776,-0.2086119,1.180382,0.374631
2017-06-11T14:14:00,81.829954,11.188799,0.22361906,0.03307983,1.46501014,0.03280267,11.51932979,0.47246299,21.75311529,0.25867189,1.71729445,0.3244728,20.06017744,1.61082832,21.77747189,1.93530112,0.8626783,0.02364434,-0.0392943,-0.006487133,0.1363493,0.9679977,0.04055766,0.005782515,-0.6290746,-0.12916,0.3170766,0.1064225,-0.1683579,0.4682442,-0.09130458,0.8973827
2017-06-11T14:15:00,81.829924,11.189308,0.44071057,0.02165844,2.57262517,0.01887712,5.3646098,0.54850601,27.59663827,0.45676971,1.57616017,0.23861431,44.02661845,4.02584571,45.60277862,4.26446002,0.8135665,-0.06805192,-0.04312922,-0.01107971,0.1391464,0.9839058,0.05545293,0.01318498,0.2203401,-0.1332665,0.07183719,-0.255682,-0.4213985,-0.1076573,-0.1695348,0.5782427
2017-06-11T14:35:00,81.829078,11.197967,0.41092533,0.01523736,1.09629227,0.01813815,9.85755029,0.36330888,24.43372864,0.2915617,2.70047804,0.1996639,16.73881637,1.35244705,19.43929441,1.55211095,0.7251517,-0.01376643,-0.04870534,0.01039748,0.2617259,0.9701511,0.06139701,-0.02347416,-1.164497,-0.2147933,-0.2959164,0.8448697,-0.4595932,-0.8022521,0.3776239,0.0562758
2017-06-11T14:36:00,81.829029,11.198427,0.31167569,0.03423353,1.25507981,0.0407084,7.77489089,1.11418396,25.0362634,0.43227082,1.61549632,0.40895069,19.62319922,2.38569893,21.238695540000002,2.7946496200000004,0.7920669,-0.0870352,-0.05401667,-0.0001669877,0.1892705,1.034234,0.06206258,0.0003461557,0.4654718,-0.8589695,-0.4521759,-0.04731843,-1.043086,-0.9440485,-0.5827805,0.9194225
2017-06-11T14:37:00,81.828988,11.198883,0.35119431,0.01586811,0.91860708,0.01704537,8.78110709,0.45949618,23.53343377,0.36702429,2.05591655,0.20047467,13.5443739,1.31059623,15.60029045,1.5110709,0.7605958,-0.02011448,-0.03724716,-0.002444861,0.2626469,1.028296,0.05603299,0.001810553,-0.09595168,-1.572118,-0.7550806,-0.03736717,-0.9234265,1.374714,0.3570209,0.7256487
2017-06-11T14:39:00,81.828924,11.199568,0.57401948,0.02383588,0.23702796,0.02874939,10.66755067,0.40624657,22.75421393,0.25283917,4.08225459,0.32497591,3.39079382,0.61104431,7.47304841,0.9360202200000001,0.7895741,-0.01096916,-0.1129751,-0.007091625,0.2340851,1.02237,0.1346765,0.005623796,0.1883262,-0.8438163,-0.95587,0.02934581,0.580098,0.71333,0.9074486,0.01476445
